2025-05-03 10:23:22 | Sistema | Carga de datos | ERROR | Error al cargar datos: datosSistema.dat (El sistema no puede encontrar el archivo especificado)
2025-05-03 10:23:22 | Sistema | Inicialización | ÉXITO | Inicializando sistema con datos por defecto
2025-05-03 10:23:22 | Sistema | Creación de usuarios | ÉXITO | Se creó el usuario mecánico por defecto
2025-05-03 10:23:22 | Sistema | Creación de servicio | ÉXITO | Se creó el servicio de diagnóstico por defecto
2025-05-03 10:23:22 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-05-03 10:23:22 | Sistema | Hilos | ÉXITO | Sistema de hilos iniciado correctamente
2025-05-03 10:23:27 | Sistema | Carga de datos | ÉXITO | Se cargaron los datos del sistema correctamente
2025-05-03 10:23:27 | Sistema | Creación de usuarios | ÉXITO | Se creó el usuario mecánico por defecto
2025-05-03 10:23:27 | Sistema | Creación de servicio | ÉXITO | Se creó el servicio de diagnóstico por defecto
2025-05-03 10:23:27 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-05-03 10:23:27 | Sistema | Hilos | ÉXITO | Sistema de hilos iniciado correctamente
2025-05-03 10:23:30 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-05-03 10:23:30 | Sistema | Hilos | ÉXITO | Sistema de hilos detenido correctamente
2025-05-03 10:23:42 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-05-03 10:23:59 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-05-03 10:23:59 | Sistema | Hilos | ÉXITO | Sistema de hilos detenido correctamente
2025-05-03 10:26:35 | Sistema | Carga de datos | ÉXITO | Se cargaron los datos del sistema correctamente
2025-05-03 10:26:35 | Sistema | Creación de usuarios | ÉXITO | Se creó el usuario mecánico por defecto
2025-05-03 10:26:35 | Sistema | Creación de servicio | ÉXITO | Se creó el servicio de diagnóstico por defecto
2025-05-03 10:26:35 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-05-03 10:26:35 | Sistema | Hilos | ÉXITO | Sistema de hilos iniciado correctamente
2025-05-03 10:26:51 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-05-03 10:26:51 | Sistema | Hilos | ÉXITO | Sistema de hilos detenido correctamente
2025-05-03 10:29:52 | Sistema | Carga de datos | ÉXITO | Se cargaron los datos del sistema correctamente
2025-05-03 10:29:52 | Sistema | Creación de usuarios | ÉXITO | Se creó el usuario mecánico por defecto
2025-05-03 10:29:52 | Sistema | Creación de servicio | ÉXITO | Se creó el servicio de diagnóstico por defecto
2025-05-03 10:29:52 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-05-03 10:29:52 | Sistema | Hilos | ÉXITO | Sistema de hilos iniciado correctamente
2025-05-03 10:29:58 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 1 - Cambio Pistones
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP001
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP016
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP025
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 2 - Mantenimiento Frenos
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP002
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP012
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP021
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 3 - Servicio Filtro
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP003
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP013
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP022
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 4 - Reparacion Motor
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP004
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP014
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP023
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 5 - Suspension Completa
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP005
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP015
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP024
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 6 - Servicio General
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP006
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP017
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP026
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 7 - Cambio Pastillas
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP007
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 8 - Reparacion Embrague
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP008
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP018
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP027
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 9 - Reemplazo Sensor
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP009
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP019
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP028
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 10 - Servicio Luces
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP010
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP020
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP029
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 11 - Reemplazo Correa
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP011
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP030
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 12 - Servicio Electrico
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP013
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP022
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 13 - Reparacion Encendido
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP014
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP023
2025-05-03 10:31:30 | Sistema | Registro de servicio | ÉXITO | Servicio registrado: 14 - Revision Aire
2025-05-03 10:31:30 | Sistema | Agregar repuesto a servicio | ERROR | No se encontró repuesto con ID: REP016
